discovery_method,log_name,commitizen,FinGPT,FinRL,Nautilus_trader,OpenBB,Qlib,TradingAgents,Vibe-Trading
heuristics_dep_0.8,random_case_control,,,,,0.6403075112367682,,0.6804707614238918,
heuristics_dep_0.8,vitalizing,,,,,0.6076728349277599,,0.68083945448518,
heuristics_dep_0.8,whole,,,,,0.6372542711618433,,0.6817961757564646,
heuristics_dep_0.9,random_case_control,,,,,0.6406059530035053,,0.6805368745706353,
heuristics_dep_0.9,vitalizing,,,,,0.6072417170309071,,0.68083945448518,
heuristics_dep_0.9,whole,,,,,0.6422379529020723,,0.6821476799205376,
inductive_IM,random_case_control,0.2161787283896247,0.6091209581565104,0.3628243441916811,0.2658508630794925,0.2933770826736263,0.3580134992522327,0.3258714975418374,0.3268576610047648
inductive_IM,vitalizing,0.2347956234169658,0.6254545454545455,0.5451734040203225,0.2182816385098309,0.3480353597293603,0.3286337937450798,0.3482414242292662,0.3867758316924033
inductive_IM,whole,0.2133199122215998,0.4561403508771929,0.3314351452401495,0.2152204713863002,0.3104939204986293,0.3629445374839917,0.3099400861917942,0.3082995631808851
inductive_IMf_noise_0.2,random_case_control,0.4836341677705615,0.6268489145127146,0.6101102788498867,0.5196662885447108,,0.6114817501082627,,0.541817550663586
inductive_IMf_noise_0.2,vitalizing,0.4365952086866148,0.6449302276224332,0.6594176052200647,0.4176458892196675,,0.5848882944762833,,0.6670977332283278
inductive_IMf_noise_0.2,whole,0.5289146504639936,0.5888161614962144,0.6916592951887915,0.6632661222040245,,0.5768576047027485,,0.4102589767042019
inductive_IMf_noise_0.3,random_case_control,0.5013795063856241,0.6425795840442474,0.6091612531372878,0.5006474411160557,0.350313979151587,0.5949378557545436,0.5292254667338094,0.4235112016458728
inductive_IMf_noise_0.3,vitalizing,0.507445541158561,0.6905378954183473,0.7700497998416295,0.6630659405651168,0.3255043348753222,0.5542882594260933,0.5608862980276959,0.6789667298805313
inductive_IMf_noise_0.3,whole,0.4036538535091944,0.6238322178731556,0.593465694111014,0.3687873390412516,0.3754703586099154,0.5464527354254409,0.3748856014734075,0.3604378533881938
inductive_IMf_noise_0.4,random_case_control,0.3465223881787305,0.6447161001091761,0.5265527376939194,0.3782308567152487,0.328145630344268,0.5928872894063999,0.4750402779182868,0.4316224285261875
inductive_IMf_noise_0.4,vitalizing,0.4312054726366421,0.6905921922268714,0.7700497998416295,0.4351845895840537,0.337875798061641,0.5446344083037647,0.5507010013683582,0.563555313659736
inductive_IMf_noise_0.4,whole,0.328666192765413,0.6433168830464197,0.3553717277109374,0.2991516433799987,0.4007402592815591,0.5464527354254409,0.4066372276876447,0.3275236167386692
inductive_IMf_noise_0.5,random_case_control,,,,,0.4155953643383083,,0.4362613604854201,
inductive_IMf_noise_0.5,vitalizing,,,,,0.33865056865355,,0.4372111164853658,
inductive_IMf_noise_0.5,whole,,,,,0.3576189675274888,,0.4265559443838336,
inductive_IMf_noise_0.6,random_case_control,,,,,0.3852114872341398,,0.451927171739659,
inductive_IMf_noise_0.6,vitalizing,,,,,0.3633325873869135,,0.414976844379765,
inductive_IMf_noise_0.6,whole,,,,,0.3782585596690514,,0.4265559443838336,
split_miner_eps_0.1_eta_0.4,random_case_control,0.5239977433103108,0.7261575161254249,0.7011579739969671,0.6295061668882309,,0.679673860607182,,0.7782215005052235
split_miner_eps_0.1_eta_0.4,vitalizing,0.5829449508450802,0.7735316747884072,0.7105039070597969,0.6106977193833018,,0.7073084905967391,,0.7556140461299903
