title
refactor(bump): use a loop to shorten a series of similar NotAllowed exceptions
docs(CHANGELOG): run `pre-commit run --all-files` to fix CI
Upgrade ruff and add RUF022 & RUF100
fix(base.py): add encoding when open changlelog_file
Installing pre-commit hook step in `cz init` fails when using rye
Turn on mypy check_untyped_defs = true
build(poetry)(deps-dev): bump mypy from 0.931 to 1.2.0
`bump` does not pick a breaking change for `chore!:`
create a dev bump straight after a normal bump
Support placeholders for local version bumping
prerelease can't comply with the semver.org specification
fix: issue 67: shutil.py:606: PermissionError
fix(test_cli): testing the version command
Add --dry-run option to command commit
Easier Customization
refactor(ParseArgs): simplify `__call__` function body
"build: add PGH003 and PGH004, add types-colorama"
Deprecate `Questions` in defaults.py
"fix(commit): emit deprecated warning of cz commit -s BEFORE going through dialog, add deprecation warning on cz commit --help"
Add FAQ explaining why Pydantic is not used
fix(defaults): add non-capitalized default constants back and deprecated warning
"refactor(git): extract _create_commit_cmd_string, better test coverage"
feat(ci/cd): automates the generation of CLI screenshots
`cz bump` fails when running with `rye`
cz bump fails if any non semver tag exist
Bump Increments `PATCH` Version on `ci` Commit
Be able to configure the allowed prefixes list
Feature/allow empty commit
`cz init` failed if there is already a config with identical filename (json format)
New command: cz check
Generate Changelog from commits
fix(CommitizenProvider): raise if version is None
refactor(Init): fix unbounded variable in _ask_tag_format
Support the latest version of `Ruff`
docs(cli): fix minor grammatical issue
README.md Usage section is misleading
feat(commit): add --write-message-to-file option
Commitizen-branch with pre-commit prevents from push to origin with exit code 23
Relax specification for argcomplete dependency
Improve `cz init` command
Proposal for v3
fix(cz/exceptions): Fix AnswerRequiredException not caught
feat(Commands/check): enforce the project to always use conventional …
Fixes #60: Add 'git-cz' entrypoint in user's PATH.
ci: codeconv for github actions
fix(Bump): rewrite --get-next NotAllowed error message for consistency
fix(Changelog): fix _export_template variable type
refactor(TagRules): extract tag_formats property and simplify list comprehension
refactor(ScmProvider): replace sorted with max
refactor(changelog): shorten generate_tree_from_commits and use set to check used tags
Restore branch
Check every commit message in PR CI
Upgrade `mypy` to 1.16
refactor(conventional_commits): make schema_pattern more readable
refactor(check): remove unnecessary list construction
build(termcolor): remove termcolor <3 restriction
refactor(version_scheme): cleanup
fix: set shell to False if running subprocess on Windows
build(deps-dev): bump pytest from 8.2.0 to 8.2.1
chore: add chore to types list
"version store strategy: ""VERSION"" file"
docs: Fix spelling mistakes
fix: commit dry-run doesnt require staging to be clean
show the version of the current project
refactor(Changelog): remove unnecessary intermediate variables for better readability
ci(mypy): redo #1480
build(poetry): run poetry update to keep the packages up to date
"refactor: do not guess if changelog format is provided, make function private"
refactor(BaseCommitizen): remove unused process_commit
docs(init): rewrite commands init page
"docs(bump): rewrite bump about section, fix incorrect version increment rules"
refactor(changelog): cleanup and add test cases
refactor: improve readability and fix typos
feat: filter search for commit change type
build(deps-dev): bump ruff from 0.4.4 to 0.4.5
docs: fix a few typos in CHANGELOG.md and .pre-commit-hooks.yaml
[outdated] fix: set shell to False if running subprocess on Windows
Add py.typed marker
Allow releasing after a release candidate without commits
ci(dependabot): add prefix-development
Error with Vim when trying to bump to a new version
Writes git commit messages with AI
"I use https://formulae.brew.sh/formula/commitizen, but can't not use.  Intel macOS Ventura 13.1"
[BUG]: Windows CI Tests False-Positive of Passing
Add documentation for Github Actions
Customize committing and bumping through toml file
Project status
ci(github-actions): set organization to true for JamesIves/github-sponsors-readme-action@v1
refactor(git): remove redundant if branch
"docs(customization.md): fix grammar mistake, add title to code blocks"
4.8.3 candidate
"feat(bump_rule): add BumpRule, VersionIncrement, Prerelease Enum"
Support `termcolor` version 3
refactor: fix typos
ci: skip 'update-cli-screenshots' if no changes
Add won't added features to FAQ page
CLI screenshots will not be updated on Github Pages
UnicodeDecodeError when running `cz bump`
refactor: strip possessive from note about ci option
"Error ""fatal: unknown refname: format lstrip=2"" raised when running ""cz bump"""
change log was generated with garbage data
build(poetry)(deps): bump argcomplete from 2.1.2 to 3.0.8
cz changelog does not create breaking change for feat(pipeline)!
Global Configuration
feat: check if commit message is no more than 72 characters
Deprecation warning for config through ini files
Add documentation for Jenkinsfile
README typo should be convention
ci: new github actions
Restrict list of types / scopes
"fix(ExitCode): add from_str in ExitCode and replace parse_no_raise with it, warn if the error code is not in range"
commitizen 4.8.3 includes dependency `importlib_metadata` for Python > 3.9
refactor(bump): simplify nested if
perf(bump): avoid unnecessary list construction and rename variable t…
docs(contributing): improve documentation for first-time contributors
refactor(bump): TypedDict for bump argument
"refactor: improve types and avoid nested loop, add types for untyped functions"
docs: correct case GitHub
test(changelog): code cleanup and better type
docs(pull_request_template): make the checklist holistic
Add check against main branch hook
build(deps-dev): bump requests from 2.31.0 to 2.32.0
build(deps-dev): bump mkdocs-material from 9.5.23 to 9.5.24
`cz ch` cannot decode Chinese word
build commit is not eligible to be bumped
test: add test for 'additional' types in conventional commits
Fix/major version zero bump map
feat: add --allow-no-commit option
Current release changelog with merged pre-release changelog
Commitizen pre-commit fails when using `git commit -v`
Discussion for PR https://github.com/commitizen-tools/commitizen/pull/486
"`bump` is also changing dependency versions in `pyproject.toml`, when the versions are the same"
No tag found to do an incremental changelog
Option to allow `fixup!` and `squash!` in commit messages
[Bug] Bump commits ALL files
[Feature Request] Respect --allow-empty flag
[feature] support finding latest relase version in bump version commit message
docs: added github actions to nav
"Rename ""files"" in configuration"
Enhance customization
