variant,count
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'reviewed', 'committed', 'reviewed', 'closed', 'merged', 'head_ref_deleted')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'reviewed', 'reviewed', 'base_ref_changed', 'labeled', 'unlabeled', 'closed', 'merged', 'head_ref_deleted')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'base_ref_changed', 'base_ref_changed', 'reviewed', 'commented', 'closed', 'head_ref_deleted')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'milestoned', 'base_ref_changed', 'reviewed', 'merged', 'closed')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'reviewed', 'commented', 'subscribed', 'mentioned', 'mentioned', 'subscribed', 'closed', 'merged', 'commented', 'subscribed', 'mentioned', 'mentioned', 'subscribed', 'commented', 'subscribed', 'mentioned', 'subscribed', 'mentioned', 'commented', 'mentioned', 'subscribed', 'mentioned', 'subscribed', 'commented')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'reviewed', 'reviewed', 'closed', 'merged', 'head_ref_deleted')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'labeled', 'commented', 'renamed', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'labeled', 'commented', 'reviewed', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'subscribed', 'mentioned', 'labeled', 'labeled', 'commented', 'reviewed', 'closed', 'merged', 'head_ref_deleted')",1
