variant,count
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'committed', 'head_ref_force_pushed', 'commented', 'base_ref_force_pushed', 'base_ref_force_pushed', 'base_ref_changed', 'convert_to_draft', 'closed')",2
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'cross_referenced', 'commented', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'head_ref_force_pushed', 'base_ref_force_pushed', 'commented', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'labeled', 'committed', 'commented', 'committed', 'ready_for_review', 'review_requested', 'review_requested', 'review_requested', 'commented', 'committed', 'commented', 'commented', 'mentioned', 'subscribed', 'mentioned', 'subscribed', 'reviewed', 'committed', 'commented', 'reviewed', 'reviewed', 'commented', 'mentioned', 'subscribed', 'reviewed', 'merged', 'closed', 'cross_referenced', 'referenced', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'committed', 'commented', 'mentioned', 'subscribed', 'commented', 'closed')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'head_ref_force_pushed', 'head_ref_force_pushed', 'head_ref_force_pushed', 'commented', 'commented', 'head_ref_force_pushed', 'committed', 'head_ref_force_pushed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'labeled', 'committed', 'head_ref_force_pushed', 'commented', 'mentioned', 'subscribed', 'base_ref_changed', 'commented', 'commented', 'cross_referenced', 'commented', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'committed', 'commented', 'committed', 'committed', 'committed', 'reviewed', 'reviewed', 'labeled', 'unlabeled', 'reviewed', 'committed', 'labeled', 'commented', 'merged', 'closed', 'commented', 'commented', 'mentioned', 'subscribed', 'head_ref_deleted', 'cross_referenced', 'cross_referenced')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'committed', 'committed', 'closed')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'reviewed', 'reviewed', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'commented', 'merged', 'closed', 'head_ref_deleted', 'cross_referenced')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'commented', 'review_requested', 'merged', 'closed', 'head_ref_deleted', 'reviewed')",1
