issue_id,cm_total,cm_breaking_count,cm_feat_count,cm_fix_count,cm_chore_count,cm_docs_count,cm_style_count,cm_refactor_count,cm_test_count,cm_build_count,cm_ci_count,cm_perf_count,cm_revert_count,cm_bump_count,cm_wip_count,cm_other_count,cat_feature_work_count,cat_bug_fixes_count,cat_tech_debt_count,cat_docs_count,cat_other_count,cat_feature_work_ratio,cat_bug_fixes_ratio,cat_tech_debt_ratio,cat_docs_ratio,cat_other_ratio,dominant_category,dominant_type,top_scopes
12014,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,bug_fixes,fix,['changelog_merge_prerelease']
12226,17,0,0,4,0,1,1,6,1,1,1,2,0,0,0,0,0,4,12,1,0,0.0,0.23529411764705882,0.7058823529411765,0.058823529411764705,0.0,tech_debt,refactor,"['bump', 'ruff', 'version']"
13176,11,0,0,1,0,1,1,5,1,1,1,0,0,0,0,0,0,1,9,1,0,0.0,0.09090909090909091,0.8181818181818182,0.09090909090909091,0.0,tech_debt,refactor,"['bump', 'cargo_provider', 'exit-codes']"
13529,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,bug_fixes,fix,['git']
15626,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,ci,"['github-actions', 'bump']"
16510,33,0,4,3,0,3,3,15,4,0,0,0,0,0,0,1,4,3,22,3,1,0.12121212121212122,0.09090909090909091,0.6666666666666666,0.09090909090909091,0.030303030303030304,tech_debt,refactor,"['baseconfig', 'init', 'basecommitizen']"
17516,10,0,5,1,0,0,0,3,1,0,0,0,0,0,0,0,5,1,4,0,0,0.5,0.1,0.4,0.0,0.0,feature_work,feat,"['commit-input', 'commit', 'tests']"
17847,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,docs,docs,[]
18006,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,feature_work,feat,[]
19584,6,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,6,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,refactor,"['cargo_provider', 'changelog', 'github-actions']"
20263,35,0,1,8,0,2,1,18,5,0,0,0,0,0,0,0,1,8,24,2,0,0.02857142857142857,0.22857142857142856,0.6857142857142857,0.05714285714285714,0.0,tech_debt,refactor,"['init', 'changelog', 'bump']"
20923,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,bug_fixes,fix,[]
21235,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,bug_fixes,fix,['dependencies']
21578,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0.0,0.0,0.5,0.0,feature_work,docs,['config']
22029,12,0,0,0,0,7,0,1,0,1,3,0,0,0,0,0,0,0,5,7,0,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,docs,docs,"['readme', 'github-actions', 'customization.md']"
24171,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,docs,docs,['defaults']
25345,65,0,0,4,0,2,13,31,4,8,1,2,0,0,0,0,0,4,59,2,0,0.0,0.06153846153846154,0.9076923076923077,0.03076923076923077,0.0,tech_debt,refactor,"['bump', 'changelog', 'git']"
25915,59,0,0,4,0,2,13,31,4,3,0,2,0,0,0,0,0,4,53,2,0,0.0,0.06779661016949153,0.8983050847457628,0.03389830508474576,0.0,tech_debt,refactor,"['bump', 'changelog', 'git']"
27452,5,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,2,1,1,0.2,0.0,0.4,0.2,0.2,tech_debt,docs,['pyproject.toml']
28278,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,docs,docs,"['contributing', 'contributing-tldr']"
28363,30,0,0,1,0,1,0,18,4,6,0,0,0,0,0,0,0,1,28,1,0,0.0,0.03333333333333333,0.9333333333333333,0.03333333333333333,0.0,tech_debt,refactor,"['git', 'bump', 'changelog']"
28955,25,0,0,1,0,1,0,15,4,4,0,0,0,0,0,0,0,1,23,1,0,0.0,0.04,0.92,0.04,0.0,tech_debt,refactor,"['git', 'bump', 'changelog']"
30385,30,0,0,2,0,1,12,12,0,2,0,1,0,0,0,0,0,2,27,1,0,0.0,0.06666666666666667,0.9,0.03333333333333333,0.0,tech_debt,style,"['bump', 'check', 'cli']"
30919,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,docs,docs,[]
31178,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,refactor,['changelog']
31422,80,0,0,6,0,3,14,41,4,9,1,2,0,0,0,0,0,6,71,3,0,0.0,0.075,0.8875,0.0375,0.0,tech_debt,refactor,"['bump', 'git', 'cli']"
33343,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,refactor,"['git', 'test_git']"
33882,11,0,0,1,0,2,0,7,1,0,0,0,0,0,0,0,0,1,8,2,0,0.0,0.09090909090909091,0.7272727272727273,0.18181818181818182,0.0,tech_debt,refactor,"['bump_rule', 'command_bump', 'bump']"
34513,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,test,['changelog']
34627,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,test,['init']
34738,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,test,['changelog']
35078,5,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,4,1,0,0.0,0.0,0.8,0.2,0.0,tech_debt,refactor,"['git', 'eoltype']"
35468,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,feature_work,feat,['cli']
36038,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0.0,0.0,0.0,1.0,0.0,docs,docs,"['readme', 'readme.md', 'contributing']"
37900,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,bug_fixes,fix,[]
38720,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,ci,['github-actions']
39989,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
40148,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
40247,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
40298,9,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,bug_fixes,fix,"['fichier', 'file']"
40567,9,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,bug_fixes,fix,"['file', 'fichier']"
40822,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
41026,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
41230,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
41638,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
42311,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,style,['deps-dev']
42685,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,ci,['deps']
43245,61,0,2,4,0,11,1,1,4,35,1,0,0,2,0,0,2,4,44,11,0,0.03278688524590164,0.06557377049180328,0.7213114754098361,0.18032786885245902,0.0,tech_debt,build,"['deps-dev', 'changelog', 'deps']"
44104,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
44775,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
45183,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,docs,docs,[]
46016,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
48064,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
49798,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps']
55717,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,ci,['github-actions']
57064,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,bug_fixes,fix,['command-init']
57629,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
57684,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
57791,12,0,1,0,0,1,1,5,4,0,0,0,0,0,0,0,1,0,10,1,0,0.08333333333333333,0.0,0.8333333333333334,0.08333333333333333,0.0,tech_debt,refactor,"['commit', 'utils', 'git-hooks']"
57983,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,bug_fixes,fix,['changelog']
58290,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
59270,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
61149,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,bug_fixes,fix,"['bump', 'scm', 'version_schemes']"
61309,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,style,['deps-dev']
61699,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
61975,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
62087,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,docs,docs,['version_scheme']
62361,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
62745,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps']
63115,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,ci,['github']
63720,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,docs,docs,['changelog']
63916,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,docs,docs,['github']
64243,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['deps-dev']
66819,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,other,other,[]
67555,12,0,0,0,1,0,0,9,0,0,0,0,0,0,0,2,0,0,10,0,2,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,tech_debt,refactor,"['provider', 'tests']"
68481,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,docs,docs,['docs']
71557,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,ci,['github-actions']
72044,7,0,0,0,0,2,1,0,0,1,3,0,0,0,0,0,0,0,5,2,0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,tech_debt,ci,"['pre-commit', 'github-action', 'poetry']"
74217,50,0,8,6,1,14,3,0,8,8,2,0,0,0,0,0,8,6,22,14,0,0.16,0.12,0.44,0.28,0.0,tech_debt,docs,"['providers', 'changelog', 'init']"
74729,21,0,1,4,0,13,0,0,1,2,0,0,0,0,0,0,1,4,3,13,0,0.047619047619047616,0.19047619047619047,0.14285714285714285,0.6190476190476191,0.0,docs,docs,"['init', 'changelog', 'config']"
75639,28,0,8,2,0,1,2,0,6,5,1,0,0,0,0,3,8,2,14,1,3,0.2857142857142857,0.07142857142857142,0.5,0.03571428571428571,0.10714285714285714,tech_debt,feat,"['providers', 'poetry', 'deps']"
76281,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['poetry']
79593,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,tech_debt,test,"['bump', 'commands/bump', 'hooks']"
81155,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0.25,0.0,0.75,0.0,0.0,tech_debt,ci,"['pre-commit', 'scripts', 'github-actions']"
82148,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,docs,docs,['readme.md']
82294,22,0,2,6,2,3,0,0,5,0,0,0,0,3,0,1,2,6,10,3,1,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.13636363636363635,0.045454545454545456,tech_debt,fix,"['pythonpackage.yml', 'unicode', 'readme.md']"
83151,20,0,2,8,0,0,0,0,8,0,2,0,0,0,0,0,2,8,10,0,0,0.1,0.4,0.5,0.0,0.0,tech_debt,test,"['scripts', 'conf.py', 'pythonpackage.yml']"
