log_name,discovery_method,distinct_traces,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
random_case_control,split_miner_eps_0.1_eta_0.5,106,0.6362032963528764,0.8485443938450122,0.4798148148148148,0.7149186114237669,281.0,40.0,0.4439834024896266,ok,
vitalizing,split_miner_eps_0.1_eta_0.5,123,0.7589234777686076,0.9477424976320437,0.6041622425143343,0.7379193037860095,129.0,1.0,0.6222222222222222,ok,
whole,split_miner_eps_0.1_eta_0.5,246,0.7271419218773524,0.8410673236374512,0.6258624088310665,0.7176791219236269,324.0,52.0,0.4166666666666667,ok,
random_case_control,split_miner_eps_0.1_eta_0.6,106,0.6386041871553738,0.8766703678084817,0.5390397672162949,0.7557069979888537,271.0,40.0,0.45217391304347826,ok,
vitalizing,split_miner_eps_0.1_eta_0.6,123,0.7589234777686076,0.9477424976320437,0.6041622425143343,0.7379193037860095,129.0,1.0,0.6222222222222222,ok,
whole,split_miner_eps_0.1_eta_0.6,246,0.7003499689948987,0.8386203396200599,0.5417176282903483,0.6582379561764132,292.0,40.0,0.44223107569721115,ok,
random_case_control,split_miner_eps_0.2_eta_0.4,106,0.6260602551458794,0.6963383198674853,0.543166261867962,0.6663054884650095,333.0,73.0,0.3582554517133957,ok,
vitalizing,split_miner_eps_0.2_eta_0.4,123,0.7307215336023094,0.9526888219742311,0.5664942741041743,0.7105039070597969,152.0,1.0,0.5963302752293579,ok,
whole,split_miner_eps_0.2_eta_0.4,246,0.7470087816211897,0.7210082366565029,0.5819725199625927,0.6440724136088457,405.0,87.0,0.3697916666666667,ok,
random_case_control,split_miner_eps_0.2_eta_0.5,106,0.6362032963528764,0.8485443938450122,0.4798148148148148,0.6822883333861502,281.0,40.0,0.4439834024896266,ok,
vitalizing,split_miner_eps_0.2_eta_0.5,123,0.7589234777686076,0.9477424976320437,0.6041622425143343,0.7379193037860095,129.0,1.0,0.6222222222222222,ok,
whole,split_miner_eps_0.2_eta_0.5,246,0.7370361040503937,0.8415660012548583,0.6203769215925903,0.7142387257617363,324.0,52.0,0.4166666666666667,ok,
random_case_control,split_miner_eps_0.2_eta_0.6,106,0.6196858337608926,0.8759105353708394,0.5539496635933217,0.715311913362115,271.0,40.0,0.45217391304347826,ok,
vitalizing,split_miner_eps_0.2_eta_0.6,123,0.7589234777686076,0.9477424976320437,0.6041622425143343,0.7379193037860095,129.0,1.0,0.6222222222222222,ok,
whole,split_miner_eps_0.2_eta_0.6,246,0.699096306263049,0.8356942513796284,0.5392514954211001,0.6555158642729983,292.0,40.0,0.44223107569721115,ok,
random_case_control,split_miner_eps_0.3_eta_0.4,106,0.5850594887353391,0.7578860032660801,0.5455383905925755,0.6733054301155241,343.0,88.0,0.3256484149855908,ok,
vitalizing,split_miner_eps_0.3_eta_0.4,123,0.7494775746802178,0.925204840226739,0.6433260393873086,0.758937389401594,184.0,11.0,0.5428571428571428,ok,
whole,split_miner_eps_0.3_eta_0.4,246,0.7161161484933478,0.6953553619062424,0.5773411653500776,0.6308766722901913,412.0,99.0,0.3516209476309227,ok,
random_case_control,split_miner_eps_0.3_eta_0.5,106,0.6040205329064967,0.8877883911472164,0.47919363787682634,0.6848608527985076,323.0,88.0,0.31137724550898205,ok,
vitalizing,split_miner_eps_0.3_eta_0.5,123,0.7628440341957117,0.9494221604966806,0.6353775552774301,0.7612842496856932,133.0,1.0,0.6304347826086957,ok,
whole,split_miner_eps_0.3_eta_0.5,246,0.7167053055503796,0.8249083352540492,0.5829561228800773,0.6831415653300708,328.0,52.0,0.42857142857142855,ok,
random_case_control,split_miner_eps_0.3_eta_0.6,106,0.6378249735181385,0.8886923311262781,0.5151938526021655,0.7146092440718763,226.0,23.0,0.4945054945054945,ok,
vitalizing,split_miner_eps_0.3_eta_0.6,123,0.7628440341957117,0.9494221604966806,0.6353775552774301,0.7612842496856932,133.0,1.0,0.6304347826086957,ok,
whole,split_miner_eps_0.3_eta_0.6,246,0.7171983009538327,0.8627160677533858,0.5447462395844606,0.6678137400733111,296.0,40.0,0.45599999999999996,ok,
